,campaña
564,732187328
565,732187328
566,732187328
567,732187328
568,1648648995
569,732187328
570,1648648995
571,1648648995
572,732187328
573,1691163013
574,732401169
575,1648650846
576,732187328
577,732187328
578,732187328
579,732187328
580,732187355
581,732187328
582,732187328
583,732187328
584,1648648995
585,1646744098
586,732187328
587,1648648995
588,1783520608
589,732187328
590,732187328
591,1648648995
592,1648648995
593,732187328
594,13352855428
595,1648181896
596,1685819696
597,732187328
598,732187328
599,1042446156
600,1648648995
601,732187328
602,732187328
603,732187328
604,732187328
605,1648648995
606,1646744098
607,732187328
608,1648648995
609,732187328
610,732187328
611,6513709873
612,732187328
613,1648648995
614,732187328
615,732187355
616,1648648995
617,1648648995
618,13352768134
619,283493008
620,732187328
621,1690173969
622,13352768134
623,2083803500
624,732401028
625,1646697566
626,1648181896
627,1648181896
628,1646744098
629,1648648995
630,13352855428
631,732187328
632,1648181434
633,1646744086
634,1648648995
635,1648648995
636,1646697023
637,732187328
638,1648648995
639,1648648995
640,1691163013
641,1691163013
642,1646697023
643,283493062
644,732187328
645,732187328
646,1042446162
647,732187328
648,1725352245
649,732187328
650,732187328
651,732187328
652,1646744098
653,732187328
654,1648140227
655,732187328
656,732187328
657,732187349
658,1646744098
659,732187328
660,13352855434
661,1648648995
662,1648646316
663,1042446156
664,1646697566
665,732187328
666,1646697566
667,1646744098
668,732401028
669,732187328
670,283493065
671,1646697023
672,12758678095
673,732187328
674,13352855428
675,1648649016
676,1646744098
677,1725352245
678,732187328
679,732187328
680,732187328
681,1648648995
682,1648648995
683,732401028
684,732187328
685,732187355
686,1648648995
687,732187328
688,1783520608
689,1648646316
690,13352855428
691,732187328
692,1646697566
693,1783520608
694,1648648995
695,1685819702
696,1648648995
697,732187328
698,1646697023
699,1042446156
700,1648646316
701,732187328
702,1042446156
703,732187328
704,732187328
705,1646697020
706,732187328
707,1648648995
708,1042446156
709,732187328
710,1648648995
711,732187328
712,732187328
713,732401028
714,1646697566
715,1648181896
716,12758678095
717,1042446162
718,1724638222
719,283688291
720,1724638222
721,732187328
722,732187355
723,732187328
724,1646697566
725,1648650846
726,283688291
727,1648648995
728,1042446156
729,1646697566
730,1685819702
731,732187328
732,732187328
733,732187328
734,732187328
735,1646697023
736,732187328
737,1646697566
738,1648648995
739,732401028
740,1648648995
741,732187328
742,1648648995
743,1648649016
744,1646744065
745,732187355
746,1486016055
747,732187328
748,13352855428
749,1648646316
750,1486016055
751,732187328
752,732187328
753,1042446156
754,732187328
755,1648648995
756,732401028
757,732187328
758,732187328
759,1648140647
760,1648649016
761,732187328
762,732401028
763,732187328
764,1648649016
765,732401028
766,732187328
767,13352855428
768,1648649016
769,12758678095
770,732187328
771,732187328
772,12758678095
773,1648648995
774,732187328
775,732187328
776,1725352245
777,1646697023
778,732187328
779,1646744098
780,732187328
781,732187328
782,1724638222
783,732187328
784,1724638222
785,1648648995
786,732187328
787,732187328
788,1646697566
789,1648648995
790,1648181434
791,732187349
792,1648181434
793,732187328
794,732187328
795,1648646316
796,732187328
797,1648649016
798,732187328
799,732187328
800,1725352245
801,732187328
802,1648646316
803,732187328
804,732187328
805,1648649016
806,732187328
807,732187328
808,1648648995
809,732187328
810,1648648995
811,1648174978
812,732187328
813,13352768128
814,12758678095
815,732187328
816,1647220698
817,732187328
818,1648646316
819,1042446156
820,1725352245
821,732187355
822,1648648995
823,13352768128
824,732187328
825,13352768128
826,1648648995
827,732187328
828,732187328
829,732187328
830,732187328
831,732187328
832,1725306945
833,1439144636
834,732187328
835,1646697023
836,732187328
837,1648648995
838,732187328
839,1725306945
840,732187328
841,1648648995
842,1439144636
843,1685819696
844,13352855428
845,732401028
846,732187328
847,732187328
848,1648648995
849,732187328
850,1646697566
851,732187328
852,732187328
853,1648648995
854,1648648995
855,732187328
856,732187328
857,1648181896
858,1685819696
859,732187328
860,732187328
861,1648648995
862,1648646316
863,1648648995
864,732187355
865,732187349
866,1646744098
867,1054206170
868,1648648995
869,1486016055
870,1648648995
871,732187328
872,1042446156
873,1648648995
874,13352768134
875,1646697023
876,732187328
877,732401028
878,732187349
879,1647220776
880,1646697023
881,732187328
882,1725352245
883,732187328
884,1646697023
885,732187328
886,732401028
887,732187328
888,732187328
889,732187349
890,1648648995
891,11378120103
892,732187349
893,1685819696
894,732187328
895,732187328
896,1486016055
897,732401028
898,732187328
899,732187328
900,1724638222
901,1648648995
902,732187328
903,732187328
904,732187328
905,1648648995
906,1648648995
907,13352768122
908,1685819702
909,732187328
910,732187328
911,732187355
912,732187328
913,732187355
914,1646744098
915,1648648995
916,732187328
917,732187328
918,732187328
919,732187355
920,1647220776
921,732187328
922,1648648995
923,732401028
924,732187328
925,732187328
926,732187328
927,1648648995
928,1685819696
929,1486016055
930,1648648995
931,1648646316
932,1042446162
933,1648181896
934,1648648995
935,732187355
936,732187328
937,732187328
938,732187328
939,1724638222
940,732187355
941,732187328
942,732187328
943,1648648995
944,732187328
945,1648646316
946,1439144633
947,732187328
948,1648648995
949,732187328
950,1646744098
951,732187328
952,13352768128
953,1439144636
954,732187328
955,1646744098
956,732187328
957,732187328
958,1648648995
959,1648181896
960,732187328
961,1647220776
962,1648181896
963,1685819696
964,732187328
965,1646697566
966,732187328
967,1646697566
968,732187328
969,1648181896
970,1648648995
971,1725352245
972,732187328
973,1724235562
974,1646697566
975,732187355
976,1648648995
977,732187328
978,732187328
979,732187328
980,1725352245
981,732187355
982,732187328
983,13352855428
984,732187328
985,732401028
986,1703727077
987,1646697023
988,732401028
989,732187328
990,1648181896
991,13352768128
992,1648648995
993,1648648995
994,732187328
995,732187355
996,1685819708
997,13352855434
998,1646697566
999,732187328
1000,732187328
1001,732401028
1002,1648646316
1003,1648648995
1004,732187355
1005,1648646316
1006,1648648995
1007,732187328
1008,1486016055
1009,1648648995
1010,1648648995
1011,732187328
1012,732187328
1013,1648650846
1014,732187328
1015,1648650846
1016,732187328
1017,732187355
1018,732187355
1019,1648648995
1020,732187328
1021,732187328
1022,732187328
1023,732187328
1024,732401028
1025,732187328
1026,732187328
1027,1648649016
1028,1648646316
1029,1648648995
1030,1042446156
1031,732187328
1032,1648648995
1033,732187328
1034,1685819696
1035,732187328
1036,732187328
1037,1783520608
1038,11378120103
1039,732187328
1040,1648646316
1041,1648646316
1042,1685819702
1043,732187328
1044,1648648995
1045,1646697566
1046,732187328
1047,1648648995
1048,1648648995
1049,732187328
1050,732187328
1051,1646697023
1052,732187328
1053,732187328
1054,1685819708
1055,732187349
1056,1648648995
1057,732187328
1058,1685819702
1059,1648649016
1060,732187328
1061,732187328
1062,732187328
1063,1724638222
1064,1648646316
1065,1648648995
1066,732187328
1067,1486016055
1068,732187328
1069,1648648995
1070,1648181896
1071,1685819708
1072,732187328
1073,732187328
1074,1648648995
1075,10584328479
1076,732187328
1077,732187355
1078,732187355
1079,732401028
1080,12758678095
1081,732187328
1082,1648648995
1083,732187328
1084,732187328
1085,1646697566
1086,1646697566
1087,732187328
1088,732187328
1089,732401028
1090,1648646316
1091,13352855428
1092,732187328
1093,732187328
1094,732187328
1095,732187328
1096,732187328
1097,732401028
1098,732401028
1099,1042446156
1100,732401028
1101,732187328
1102,732187328
1103,1646744065
1104,732187328
1105,1685819696
1106,1042446156
1107,1648648995
1108,732401028
1109,1685819708
1110,732187328
1111,1685819702
1112,13352855428
1113,732187328
1114,1646697023
1115,732187328
1116,1648181896
1117,1648649016
1118,1042446156
1119,732187355
1120,1648648995
1121,732187355
1122,12119304874
1123,732187328
1124,732401169
1125,732187328
1126,732187328
1127,1646744065
1128,1646744098
1129,1648648995
1130,732187328
1131,732187328
1132,732187328
1133,732187349
1134,732187328
1135,732187355
1136,1691163013
1137,1648649016
1138,1648649016
1139,732187328
1140,732187328
1141,732187328
1142,732187328
1143,732187328
1144,1691163013
1145,732187328
1146,732187328
1147,1646744065
1148,732187328
1149,732187328
1150,732187328
1151,732187328
1152,732187328
1153,732187328
1154,12119304874
1155,13352855428
1156,1648648995
1157,1648648995
1158,732187328
1159,1648646316
1160,732187328
1161,732187328
1162,1648648995
1163,1648648995
1164,13352855428
1165,732187328
1166,732187328
1167,1648648995
1168,1648648995
1169,283493039
1170,1648646316
1171,1648648995
1172,732187328
1173,13352768134
1174,732187328
1175,732187328
1176,1646697566
1177,732187328
1178,732187328
1179,732187349
1180,732187328
1181,283493068
1182,1648648995
1183,732187328
1184,1648648995
1185,732187328
1186,1648648995
1187,1783520608
1188,13352768134
1189,1648646316
1190,1724235562
1191,1685819696
1192,732187328
1193,732401028
1194,1042446156
1195,732187328
1196,1648181896
1197,1648646316
1198,1648648995
1199,1042446162
1200,732187328
1201,732187328
1202,732187328
1203,1648648995
1204,1648648995
1205,1648648995
1206,1648646316
1207,1648648995
1208,1648648995
1209,732187328
1210,1042446156
1211,732187328
1212,732187328
1213,732187328
1214,732187328
1215,1648648995
1216,1648646316
1217,732187328
1218,732187328
1219,1648648995
1220,1648648995
1221,732187328
1222,1648648995
1223,732187328
1224,732187328
1225,732187328
1226,1648646316
1227,1648646316
1228,732187328
1229,1648646316
1230,1648140227
1231,1648648995
1232,12758678095
1233,732187328
1234,732187328
1235,732187328
1236,732187328
1237,283493068
1238,732187328
1239,732187328
1240,732187328
1241,732187328
1242,1646744086
1243,1648646316
1244,13352855428
1245,1648140644
1246,1648648995
1247,732187328
1248,732187328
1249,1648648995
1250,1646697566
1251,1648648995
1252,732187328
1253,732187328
1254,1648648995
1255,1648648995
1256,732401028
1257,1648648995
1258,1648648995
1259,732187328
1260,1647220728
1261,732187328
1262,1648649016
1263,1648648995
1264,732187328
1265,732187328
1266,732187355
1267,1648649016
1268,732187328
1269,1648648995
1270,732187328
1271,13352855434
1272,732187328
1273,732187355
1274,1648649016
1275,732187355
1276,732187328
1277,732187328
1278,732187328
1279,1439144636
1280,732187328
1281,1646744086
1282,1648648995
1283,1648646316
1284,1648646316
1285,732187328
1286,1648650846
1287,732187328
1288,732187328
1289,732187328
1290,732187355
1291,12758678095
1292,1690173969
1293,732187328
1294,1725352245
1295,1724638222
1296,1648648995
1297,732187328
1298,283493045
1299,10584328479
1300,732187328
1301,1648649016
1302,732187328
1303,732401028
1304,13352855428
1305,1646697566
1306,732187328
1307,1648649016
1308,1648648995
1309,732187328
1310,732187355
1311,1648648995
1312,1647220776
1313,732187328
1314,1648646316
1315,732187328
1316,732187328
1317,1648648995
1318,732187328
1319,732187328
1320,1648646316
1321,732187328
1322,732187328
1323,732187328
1324,732187328
1325,732187328
1326,1648181896
1327,732187328
1328,732187328
1329,1648648995
1330,1685819696
1331,732187328
1332,1486016055
1333,1648648995
1334,732187328
1335,732187355
1336,1647220776
1337,1648648995
1338,732187328
1339,1685819702
1340,1685819708
1341,732187328
1342,732187328
1343,732187328
1344,732187355
1345,732401169
1346,1648646316
1347,13352768128
1348,732187328
1349,1648648995
1350,732401169
1351,1648649016
1352,1783520608
1353,1646697566
1354,732187328
1355,1486016055
1356,1648649016
1357,732187328
1358,1685819702
1359,732187355
1360,732187328
1361,1648646316
1362,12758678095
1363,1646744098
1364,1648648995
1365,732187328
1366,1042446156
1367,732187328
1368,732187328
1369,1648648995
1370,1648649016
1371,732187328
1372,732187328
1373,732187328
1374,1042446156
1375,1042446156
1376,1648648995
1377,732187328
1378,732187328
1379,13352855428
1380,732187328
1381,732187355
1382,732187328
1383,732187328
1384,1648646316
1385,732187328
1386,732401028
1387,1685819702
1388,1725352245
1389,1648181896
1390,732187328
1391,732187355
1392,1648648995
1393,1648648995
1394,732187328
1395,732187349
1396,1486016055
1397,732187328
1398,732187328
1399,732187328
1400,1648648995
1401,1648648995
1402,283493068
1403,732187328
1404,732187328
1405,1648648995
1406,13352768122
1407,1648646316
1408,732187328
1409,732187328
1410,732187328
1411,1648649016
1412,13352855428
1413,1646744098
1414,1648648995
1415,1648648995
1416,1648140392
1417,732187328
1418,1724638222
1419,732187328
1420,732187328
1421,1646697023
1422,13352855428
1423,1646697023
1424,732187328
1425,1648649016
1426,732187328
1427,1648648995
1428,1648181896
1429,732187328
1430,732187328
1431,1648649016
1432,1647220776
1433,732187328
1434,1648648995
1435,732187328
1436,1648648995
1437,732187328
1438,1648648995
1439,12119304880
1440,1648648995
1441,1646697023
1442,12119304880
1443,1648648995
1444,732187328
1445,1646697023
1446,1648648995
1447,732187328
1448,732187328
1449,732187328
1450,1648646316
1451,732187328
1452,732187328
1453,732187328
1454,1685819702
1455,732187328
1456,732187328
1457,1725352245
1458,732187328
1459,1725352245
1460,732187328
1461,1648181896
1462,732187328
1463,732187328
1464,1439144636
1465,1648648995
1466,1648648995
1467,1646697023
1468,1648648995
1469,732187328
1470,732401028
1471,732187328
1472,732187328
1473,283167502
1474,732187328
1475,732187328
1476,1646697023
1477,1646697566
1478,1648646316
1479,732187328
1480,1648646316
1481,732187328
1482,1648648995
1483,1439144636
1484,732401028
1485,1648648995
1486,732187328
1487,732187328
1488,1648648995
1489,732187349
1490,732187328
1491,1648646316
1492,1646744098
1493,1439144774
1494,732187349
1495,13352855428
1496,732187328
1497,732187355
1498,732187328
1499,732187328
1500,1648648995
1501,1648646316
1502,1648648995
1503,10584328479
1504,732187355
1505,1439144774
1506,1648646316
1507,732187328
1508,12758678095
1509,1648648995
1510,1646697566
1511,1648648995
1512,732187328
1513,1691163013
1514,732187328
1515,732187328
1516,732187328
1517,732187328
1518,12758678095
1519,1042446156
1520,1648650846
1521,732187355
1522,1646697023
1523,732187328
1524,732187328
1525,1648648995
1526,732187328
1527,1647220698
1528,1648646316
1529,732187328
1530,732187328
1531,1648648995
1532,732401028
1533,1648646316
1534,1439144636
1535,1439144774
1536,1648646316
1537,732187328
1538,732187328
1539,1648649016
1540,732187328
1541,732187355
1542,732187328
1543,1042446156
1544,732187355
1545,1648649016
1546,732187328
1547,1685819696
1548,1648649016
1549,1685819696
1550,732401028
1551,732401028
1552,1648648995
1553,732187328
1554,1648648995
1555,1648649016
1556,1648648995
1557,1648648995
1558,1439144774
1559,732187328
1560,732187328
1561,12758678095
1562,732187355
1563,1648648995
1564,1648648995
1565,732187349
1566,732187355
1567,1648648995
1568,732187328
1569,732187328
1570,732187328
1571,732187328
1572,732187349
1573,732187349
1574,11378120115
1575,732187328
1576,732187328
1577,1646697566
1578,1691163013
1579,732187328
1580,732187328
1581,1439144633
1582,732187328
1583,1042446156
1584,283167522
1585,283493060
1586,1648648995
1587,732187328
1588,1646697023
1589,1648648995
1590,732187328
1591,732187328
1592,732187328
1593,1648648995
1594,1648648995
1595,732187328
1596,1647220698
1597,1648646316
1598,732187328
1599,1648649016
1600,1648646316
1601,732187328
1602,1648646316
1603,1724235562
1604,1646697566
1605,1648648995
1606,1725352245
1607,1646697566
1608,13352768134
1609,13352855428
1610,1648648995
1611,1648648995
1612,732187328
1613,732187328
1614,1648648995
1615,1648648995
1616,732187328
1617,1648649016
1618,732187328
1619,1648648995
1620,732187355
1621,1648649016
1622,732187328
1623,2064923258
1624,1646697023
1625,732187355
1626,1725352245
1627,732187328
1628,732187328
1629,732187328
1630,732187328
1631,732187328
1632,1648649016
1633,1648648995
1634,1648649016
1635,1685819708
1636,1648646316
1637,732187328
1638,732187328
1639,732187328
1640,732187355
1641,1648649016
1642,1646697023
1643,732187328
1644,1648648995
1645,732187328
1646,1648646316
1647,732187328
1648,732187328
1649,732187349
1650,732187328
1651,732187328
1652,732187355
1653,732187355
1654,1648646316
1655,732187355
1656,1646744098
1657,732187328
1658,732187328
1659,1685819702
1660,732187355
1661,13352855428
1662,732187328
1663,732187328
1664,732401028
1665,1486016055
1666,732187328
1667,1648649016
1668,732187328
1669,1648646316
1670,732187328
1671,1042446156
1672,732401028
1673,1647220776
1674,1648649016
1675,1648648995
1676,732187328
1677,732187328
1678,732187328
1679,732187328
1680,732187328
1681,1648649016
1682,1648646316
1683,732187328
1684,1648646316
1685,732401028
1686,732187328
1687,732401028
1688,1685819708
1689,732187328
1690,13352768134
1691,13352768134
1692,1648646316
1693,1685819708
1694,1648646316
1695,13352768134
1696,2083803500
1697,732187328
1698,732187328
1699,732187328
1700,732187328
1701,732187328
1702,1648646316
1703,732401028
1704,283167522
1705,1725352245
1706,732187328
1707,1648648995
1708,1648646316
1709,1648648995
1710,732187328
1711,732187328
1712,732187349
1713,732187328
1714,1725352245
1715,732187328
1716,732187328
1717,1648648995
1718,1648646316
1719,1646697020
1720,1648648995
1721,1725352245
1722,1648646316
1723,732187328
1724,1648648995
1725,732187328
1726,732187328
1727,283167522
1728,1648649016
1729,732187328
1730,1648648995
1731,1646697566
1732,1646697566
1733,732187328
1734,1648648995
1735,1646697566
1736,1646697566
1737,1724235562
1738,12119304880
1739,732187328
1740,732187328
1741,732187328
1742,732187328
1743,1648648995
1744,1648648995
1745,1648648995
1746,732187328
1747,1648648995
1748,732187328
1749,732187328
1750,732401028
1751,732187328
1752,732401028
1753,732187328
1754,1439144636
1755,1648646316
1756,1648646316
1757,732187355
1758,732401028
1759,1648648995
1760,732187328
1761,732187328
1762,732187328
1763,732187328
1764,1685819702
1765,1439144636
1766,732187328
1767,732187349
1768,732187355
1769,1648646316
1770,1648648995
1771,1648646316
1772,1648648995
1773,1647220776
1774,732187355
1775,1648648995
1776,732187328
1777,732187328
1778,1646697023
1779,1042446156
1780,1647220776
1781,732187328
1782,732187328
1783,732401028
1784,732401031
1785,732187328
1786,732187328
1787,12119304874
1788,1648646316
1789,1648648995
1790,1042446162
1791,1648648995
1792,1648140392
1793,13352768128
1794,1648646316
1795,1648648995
1796,1646744098
1797,732187328
1798,1685819696
1799,1648646316
1800,732187328
1801,1648140362
1802,732187328
1803,732187328
1804,1685819702
1805,732187349
1806,732187328
1807,732187328
1808,1648648995
1809,732187328
1810,1648649016
1811,732187355
1812,732187328
1813,1648648995
1814,732187328
1815,1042446156
1816,1042446156
1817,732187328
1818,1685819702
1819,1648648995
1820,1690173969
1821,1648646316
1822,1648646316
1823,12758678107
1824,732187328
1825,732187328
1826,1648648995
1827,732187355
1828,732187328
1829,732187328
1830,732187328
1831,732187328
1832,732187328
1833,732187328
1834,1646697023
1835,732187328
1836,1648648995
1837,732187328
1838,732187328
1839,13352855428
1840,732187328
1841,732187328
1842,1648648995
1843,732187328
1844,1648648995
1845,732187328
1846,1685819702
1847,732187328
1848,283493077
1849,1648646316
1850,732187328
1851,1648648995
1852,1648648995
1853,1648648995
1854,1648648995
1855,732187328
1856,1648649016
1857,1648648995
1858,732187328
1859,1648646316
1860,732187328
1861,1648181896
1862,1648650846
1863,1648648995
1864,1648648995
1865,732401028
1866,1704861252
1867,1648648995
1868,1648648995
1869,732187328
1870,1648650846
1871,732187349
1872,1648648995
1873,732187328
1874,732187328
1875,1648648995
1876,732401028
1877,1648648995
1878,732187355
1879,732187328
1880,732187355
1881,1648648995
1882,732187328
1883,732187355
1884,2083803500
1885,1648646316
1886,732187349
1887,12758678095
1888,732187328
1889,732187355
1890,1648648995
1891,1648648995
1892,1648648995
1893,732187355
1894,1685819708
1895,1648181896
1896,732187328
1897,2083803500
1898,1703727077
1899,732187355
1900,732187328
1901,732187328
1902,732187328
1903,732187328
1904,1690173969
1905,732187328
1906,1648646316
1907,732187328
1908,1646697023
1909,1647220776
1910,732187328
1911,732187328
1912,1648648995
1913,732187328
1914,1648648995
1915,1648648995
1916,1685819708
1917,732187328
1918,732187328
1919,1648648995
1920,732187355
1921,732187328
1922,732187349
1923,1648649016
1924,732187328
1925,732187328
1926,1648648995
1927,732187328
1928,1648648995
1929,1648648995
1930,732187328
1931,1724235562
1932,1724235562
1933,732187328
1934,1725352245
1935,1648649016
1936,1648648995
1937,1685819708
1938,1725306945
1939,732187328
1940,1646697566
1941,732187328
1942,10584328479
1943,1648648995
1944,1439144774
1945,1648648995
1946,732187328
1947,732187328
1948,1648648995
1949,1648648995
1950,1648648995
1951,1648648995
1952,1647220776
1953,732187328
1954,732187349
1955,1646697020
1956,1648648995
1957,1725306945
1958,732401028
1959,1648648995
1960,1648646316
1961,732187328
1962,732187349
1963,1648646316
1964,732401028
1965,13352768128
1966,1646744098
1967,732187328
1968,732187328
1969,732187349
1970,732187328
1971,732187355
1972,1054206170
1973,732187328
1974,1648646316
1975,1648648995
1976,1725352245
1977,732187355
1978,1691163013
1979,732187328
1980,732187328
1981,732187328
1982,732187355
1983,1648181437
1984,732187355
1985,1646697566
1986,283688291
1987,732187355
1988,732187328
1989,732187328
1990,1648648995
1991,1439144636
1992,1691163013
1993,1648648995
