,adg
866,58527617970
867,51242788069
868,62589383945
869,56880991425
870,62589383945
871,46724581428
872,63912889335
873,62589383945
874,118216881290
875,61477462725
876,46724581628
877,46724585188
878,46724584708
879,67025934670
880,61477462725
881,46724581628
882,73019156532
883,46724581628
884,61477462725
885,46724581628
886,46724585188
887,46724581628
888,46724581628
889,46724584708
890,62589383945
891,114160419969
892,46724584708
893,64092327565
894,46724581628
895,46724581628
896,56880991425
897,46724585188
898,46724581628
899,46724581628
900,67277037573
901,62589383945
902,46724581628
903,46724581628
904,46724581628
905,62589383945
906,62589383945
907,118216880610
908,64092327965
909,46724581628
910,46724581628
911,46724587148
912,46724581628
913,46724587148
914,58527617970
915,62589383945
916,46724581628
917,46724581628
918,46724581628
919,46724587148
920,64092327765
921,46724581628
922,62589383945
923,46724585188
924,46724581628
925,46724581628
926,46724581628
927,62589383945
928,64092327565
929,56880991425
930,62589383945
931,58613330770
932,60556557005
933,64629789553
934,62589383945
935,46724587148
936,46724581628
937,46724581628
938,46724581628
939,67277037573
940,46724587148
941,46724581628
942,46724581428
943,62589383945
944,46724581628
945,58613330770
946,54995536943
947,46724581628
948,62589383945
949,46724581628
950,58527617970
951,46724581628
952,118216881010
953,54995537263
954,46724581628
955,58527617970
956,46724581628
957,46724581628
958,62589383945
959,64629789553
960,46724581628
961,64092327765
962,64629789553
963,64092327565
964,46724581628
965,65960618775
966,46724581628
967,65960618775
968,46724581628
969,64629789553
970,62589383945
971,73019156532
972,46724581628
973,67441804237
974,65960618775
975,46724587148
976,62589383945
977,46724581628
978,46724581628
979,46724581628
980,73019156532
981,46724587148
982,46724581628
983,126733863807
984,46724581628
985,46724585188
986,69127825369
987,61477462725
988,46724585188
989,46724581628
990,64629789553
991,118216881010
992,62589383945
993,62589383945
994,46724581628
995,46724587148
996,64092328045
997,126733864207
998,65960618775
999,46724581628
1000,46724581628
1001,46724585188
1002,58613330770
1003,62589383945
1004,46724587148
1005,58613330770
1006,62589383945
1007,46724581628
1008,56880991425
1009,62589383945
1010,62589383945
1011,46724581428
1012,46724581628
1013,63466490776
1014,46724581628
1015,63466490776
1016,46724581628
1017,46724587148
1018,46724587148
1019,62589383945
1020,46724581628
1021,46724581628
1022,46724581628
1023,46724581628
1024,46724585188
1025,46724581628
1026,46724581628
1027,68652743168
1028,58613330770
1029,62589383945
1030,63912889335
1031,46724581628
1032,62589383945
1033,46724581628
1034,64092327565
1035,46724581628
1036,46724581628
1037,69331918055
1038,114160419969
1039,46724581628
1040,58613330770
1041,58613330770
1042,64092327965
1043,46724581628
1044,62589383945
1045,65960618775
1046,46724581628
1047,62589383945
1048,62589383945
1049,46724581628
1050,46724581628
1051,61477462725
1052,46724581628
1053,46724581628
1054,64092328045
1055,46724584708
1056,62589383945
1057,46724581628
1058,64092327965
1059,68652743208
1060,46724581628
1061,46724581628
1062,46724581428
1063,67277037573
1064,58613330770
1065,62589383945
1066,46724581628
1067,56880991425
1068,46724581628
1069,62589383945
1070,64629789553
1071,64092328045
1072,46724581628
1073,46724581428
1074,62589383945
1075,106303760844
1076,46724581628
1077,46724587148
1078,46724587148
1079,46724585188
1080,126242467572
1081,46724581628
1082,62589383945
1083,46724581628
1084,46724581628
1085,65960618775
1086,65960618775
1087,46724581628
1088,46724581628
1089,46724585188
1090,58613330770
1091,126733863807
1092,46724581628
1093,46724581628
1094,46724581628
1095,46724581628
1096,46724581428
1097,46724585188
1098,46724585188
1099,63912889335
1100,46724585188
1101,46724581628
1102,46724581628
1103,62613040523
1104,46724581628
1105,64092327565
1106,63912889335
1107,62589383945
1108,46724585188
1109,64092328045
1110,46724581628
1111,64092327965
1112,126733863807
1113,46724581428
1114,61477462725
1115,46724581628
1116,64629789553
1117,68652743168
1118,63912889335
1119,46724587148
1120,62589383945
1121,46724587148
1122,119574666889
1123,46724581628
1124,46724582828
1125,46724581628
1126,46724581428
1127,62613040523
1128,58527617970
1129,62589383945
1130,46724581628
1131,46724581628
1132,46724581628
1133,46724584708
1134,46724581428
1135,46724587148
1136,64322688885
1137,68652743208
1138,68652743208
1139,46724581628
1140,46724581428
1141,46724581628
1142,46724581628
1143,46724581628
1144,64322688885
1145,46724581628
1146,46724581628
1147,62613040523
1148,46724581628
1149,46724581628
1150,46724581628
1151,46724581628
1152,46724581628
1153,46724581628
1154,119574666889
1155,126733863807
1156,62589383945
1157,62589383945
1158,46724581628
1159,58613330770
1160,46724581628
1161,46724581628
1162,62589383945
1163,62589383945
1164,126733863807
1165,46724581628
1166,46724581628
1167,62589383945
1168,62589383945
1169,1251244614171976
1170,58613330770
1171,62589383945
1172,46724581628
1173,118216881250
1174,46724581628
1175,46724581628
1176,65960618775
1177,46724581628
1178,46724581628
1179,46724584708
1180,46724581628
1181,1244647544802434
1182,62589383945
1183,46724581428
1184,62589383945
1185,46724581628
1186,62589383945
1187,69331918055
1188,118216881290
1189,58613330770
1190,67441804237
1191,64092327565
1192,46724581628
1193,46724585188
1194,63912889335
1195,46724581628
1196,64629789553
1197,58613330770
1198,62589383945
1199,60556557005
1200,46724581628
1201,46724581628
1202,46724581628
1203,62589383945
1204,62589383945
1205,62589383945
1206,58613330770
1207,62589383945
1208,62589383945
1209,46724581428
1210,63912889335
1211,46724581628
1212,46724581628
1213,46724581628
1214,46724581428
1215,62589383945
1216,58613330770
1217,46724581628
1218,46724581628
1219,62589383945
1220,62589383945
1221,46724581428
1222,62589383945
1223,46724581628
1224,46724581628
1225,46724581628
1226,58613330770
1227,58613330770
1228,46724581628
1229,58613330770
1230,62589461265
1231,62589383945
1232,126242467572
1233,46724581628
1234,46724581628
1235,46724581628
1236,46724581628
1237,1244647544802434
1238,46724581628
1239,46724581628
1240,46724581628
1241,46724581628
1242,59797137541
1243,58613330770
1244,126733863807
1245,69987197984
1246,62589383945
1247,46724581628
1248,46724581628
1249,62589383945
1250,65960618775
1251,62589383945
1252,46724581628
1253,46724581428
1254,62589383945
1255,62589383945
1256,46724585188
1257,62589383945
1258,62589383945
1259,46724581628
1260,61474769502
1261,46724581628
1262,68652743168
1263,62589383945
1264,46724581628
1265,46724581628
1266,46724587148
1267,68652743208
1268,46724581628
1269,62589383945
1270,46724581628
1271,126733864047
1272,46724581628
1273,46724587148
1274,68652743208
1275,46724587148
1276,46724581428
1277,46724581628
1278,46724581628
1279,54995537263
1280,46724581628
1281,59797137541
1282,62589383945
1283,58613330770
1284,58613330770
1285,46724581628
1286,64092327525
1287,46724581628
1288,46724581628
1289,46724581628
1290,46724587148
1291,126242467572
1292,65960618375
1293,46724581628
1294,73019156532
1295,67277037573
1296,62589383945
1297,46724581628
1298,1255642660633004
1299,106303760844
1300,46724581628
1301,68652743168
1302,46724581628
1303,46724585188
1304,126733863807
1305,65960618775
1306,46724581628
1307,68652743168
1308,62589383945
1309,46724581628
1310,46724587148
1311,62589383945
1312,64092327765
1313,46724581628
1314,58613330770
1315,46724581428
1316,46724581628
1317,62589383945
1318,46724581628
1319,46724581628
1320,58613330770
1321,46724581628
1322,46724581628
1323,46724581628
1324,46724581428
1325,46724581628
1326,64629789553
1327,46724581628
1328,46724581628
1329,62589383945
1330,64092327565
1331,46724581628
1332,56880991425
1333,62589383945
1334,46724581628
1335,46724587148
1336,67025934670
1337,62589383945
1338,46724581428
1339,64092327965
1340,64092328045
1341,46724581628
1342,46724581628
1343,46724581628
1344,46724587148
1345,46724582828
1346,58613330770
1347,118216881010
1348,46724581628
1349,62589383945
1350,46724582828
1351,68652743208
1352,69331918055
1353,65960618775
1354,46724581628
1355,56880991425
1356,68652743208
1357,46724581628
1358,64092327965
1359,46724587148
1360,46724581628
1361,58613330770
1362,126242467572
1363,58527617970
1364,62589383945
1365,46724581628
1366,63912889335
1367,46724581628
1368,46724581628
1369,62589383945
1370,68652743208
1371,46724581628
1372,46724581628
1373,46724581628
1374,63912889335
1375,63912889335
1376,62589383945
1377,46724581628
1378,46724581628
1379,126733863807
1380,46724581628
1381,46724587148
1382,46724581628
1383,46724581628
1384,58613330770
1385,46724581628
1386,46724585188
1387,64092327965
1388,73019156532
1389,64629789553
1390,46724581628
1391,46724587148
1392,62589383945
1393,62589383945
1394,46724581628
1395,46724584708
1396,56880991585
1397,46724581628
1398,46724581628
1399,46724581628
1400,62589383945
1401,62589383945
1402,1244647544802434
1403,46724581628
1404,46724581628
1405,62589383945
1406,118216880610
1407,58613330770
1408,46724581628
1409,46724581628
1410,46724581628
1411,68652743168
1412,126733863807
1413,58527617970
1414,62589383945
1415,62589383945
1416,62699232466
1417,46724581628
1418,67277037573
1419,46724581628
1420,46724581628
1421,61477462725
1422,126733863807
1423,61477462725
1424,46724581628
1425,68652743208
1426,46724581628
1427,62589383945
1428,64629789553
1429,46724581628
1430,46724581628
1431,68652743208
1432,64092327765
1433,46724581628
1434,62589383945
1435,46724581628
1436,62589383945
1437,46724581428
1438,62589383945
1439,117339281275
1440,62589383945
1441,61477462725
1442,117339281275
1443,62589383945
1444,46724581628
1445,61477462725
1446,62589383945
1447,46724581628
1448,46724581628
1449,46724581628
1450,58613330770
1451,46724581428
1452,46724581628
1453,46724581628
1454,64092327965
1455,46724581628
1456,46724581628
1457,73019156532
1458,46724581628
1459,73019156532
1460,46724581628
1461,64629789553
1462,46724581628
1463,46724581628
1464,54995537223
1465,62589383945
1466,62589383945
1467,61477462725
1468,62589383945
1469,46724581628
1470,46724585188
1471,46724581628
1472,46724581628
1473,1250145102821511
1474,46724581628
1475,46724581628
1476,61477462725
1477,65960618775
1478,58613330770
1479,46724581628
1480,58613330770
1481,46724581628
1482,62589383945
1483,54995537263
1484,46724585188
1485,62589383945
1486,46724581628
1487,46724581628
1488,62589383945
1489,46724584708
1490,46724581628
1491,58613330770
1492,58527617970
1493,54995539343
1494,46724584708
1495,126733863807
1496,46724581628
1497,46724587148
1498,46724581628
1499,46724581628
1500,62589383945
1501,58613330770
1502,62589383945
1503,106303760844
1504,46724587148
1505,54995539343
1506,58613330770
1507,46724581628
1508,126242467572
1509,62589383945
1510,65960618775
1511,62589383945
1512,46724581428
1513,64322688885
1514,46724581628
1515,46724581628
1516,46724581628
1517,46724581628
1518,126242467572
1519,63912889335
1520,64092327525
1521,46724587148
1522,61477462725
1523,46724581628
1524,46724581628
1525,62589383945
1526,46724581628
1527,68563611488
1528,58613330770
1529,46724581628
1530,46724581628
1531,62589383945
1532,46724585188
1533,58613330770
1534,54995537263
1535,54995539343
1536,58613330770
1537,46724581628
1538,46724581628
1539,68652743168
1540,46724581628
1541,46724587148
1542,46724581628
1543,63912889335
1544,46724587148
1545,68652743168
1546,46724581428
1547,64092327565
1548,68652743208
1549,64092327565
1550,46724585188
1551,46724585188
1552,62589383945
1553,46724581628
1554,62589383945
1555,68652743208
1556,62589383945
1557,62589383945
1558,54995539183
1559,46724581428
1560,46724581628
1561,126242467572
1562,46724587148
1563,62589383945
1564,62589383945
1565,46724584708
1566,46724587148
1567,62589383945
1568,46724581628
1569,46724581628
1570,46724581628
1571,46724581628
1572,46724584708
1573,46724584708
1574,114160420489
1575,46724581628
1576,46724581628
1577,65960618775
1578,64322688885
1579,46724581628
1580,46724581628
1581,54995536983
1582,46724581428
1583,63912889335
1584,1251244614171704
1585,1253443637512218
1586,62589383945
1587,46724581628
1588,61477462725
1589,62589383945
1590,46724581628
1591,46724581628
1592,46724581628
1593,62589383945
1594,62589383945
1595,46724581628
1596,68563611488
1597,58613330770
1598,46724581428
1599,68652743208
1600,58613330770
1601,46724581628
1602,58613330770
1603,67441804237
1604,65960618775
1605,62589383945
1606,73019156532
1607,65960618775
1608,118216881290
1609,126733863807
1610,62589383945
1611,62589383945
1612,46724581628
1613,46724581628
1614,62589383945
1615,62589383945
1616,46724581628
1617,68652743208
1618,46724581428
1619,62589383945
1620,46724587148
1621,68652743208
1622,46724581628
1623,77934940962
1624,61477462725
1625,46724587148
1626,73019156532
1627,46724581628
1628,46724581628
1629,46724581628
1630,46724581628
1631,46724581628
1632,68652743168
1633,62589383945
1634,68652743168
1635,64092328045
1636,58613330770
1637,46724581628
1638,46724581628
1639,46724581628
1640,46724587148
1641,68652743168
1642,61477462725
1643,46724581428
1644,62589383945
1645,46724581628
1646,58613330770
1647,46724581628
1648,46724581628
1649,46724584708
1650,46724581628
1651,46724581628
1652,46724587148
1653,46724587148
1654,58613330770
1655,46724587148
1656,58527617970
1657,46724581628
1658,46724581628
1659,64092327965
1660,46724587148
1661,126733863807
1662,46724581628
1663,46724581428
1664,46724585188
1665,56880991585
1666,46724581628
1667,68652743168
1668,46724581428
1669,58613330770
1670,46724581428
1671,63912889335
1672,46724585188
1673,67025934670
1674,68652743168
1675,62589383945
1676,46724581628
1677,46724581628
1678,46724581628
1679,46724581628
1680,46724581428
1681,68652743208
1682,58613330770
1683,46724581628
1684,58613330770
1685,46724585188
1686,46724581628
1687,46724585188
1688,64092328045
1689,46724581628
1690,118216881290
1691,118216881290
1692,58613330770
1693,64092328045
1694,58613330770
1695,118216881290
1696,77157998339
1697,46724581628
1698,46724581628
1699,46724581628
1700,46724581628
1701,46724581628
1702,58613330770
1703,46724585188
1704,1251244614171704
1705,73019156532
1706,46724581628
1707,62589383945
1708,58613330770
1709,62589383945
1710,46724581628
1711,46724581628
1712,46724584708
1713,46724581628
1714,73019156532
1715,46724581428
1716,46724581628
1717,62589383945
1718,58613330770
1719,58527968130
1720,62589383945
1721,73019156532
1722,58613330770
1723,46724581628
1724,62589383945
1725,46724581428
1726,46724581628
1727,1251244614171704
1728,68652743208
1729,46724581628
1730,62589383945
1731,65960618775
1732,65960618775
1733,46724581628
1734,62589383945
1735,65960618775
1736,65960618775
1737,67441804237
1738,117339281275
1739,46724581628
1740,46724581628
1741,46724581628
1742,46724581628
1743,62589383945
1744,62589383945
1745,62589383945
1746,46724581628
1747,62589383945
1748,46724581628
1749,46724581628
1750,46724585188
1751,46724581628
1752,46724585188
1753,46724581628
1754,54995537263
1755,58613330770
1756,58613330770
1757,46724587148
1758,46724585188
1759,62589383945
1760,46724581628
1761,46724581628
1762,46724581628
1763,46724581628
1764,64092327965
1765,54995537263
1766,46724581628
1767,46724584708
1768,46724587148
1769,58613330770
1770,62589383945
1771,58613330770
1772,62589383945
1773,64092327765
1774,46724587148
1775,62589383945
1776,46724581628
1777,46724581628
1778,61477462725
1779,63912889335
1780,67025934670
1781,46724581628
1782,46724581628
1783,46724585188
1784,46724585508
1785,46724581628
1786,46724581628
1787,117339281195
1788,58613330770
1789,62589383945
1790,60556557005
1791,62589383945
1792,64354805232
1793,118216881010
1794,58613330770
1795,62589383945
1796,58527617970
1797,46724581628
1798,64092327565
1799,58613330770
1800,46724581628
1801,62589482345
1802,46724581628
1803,46724581628
1804,64092327965
1805,46724584708
1806,46724581628
1807,46724581628
1808,62589383945
1809,46724581628
1810,68652743208
1811,46724587148
1812,46724581628
1813,62589383945
1814,46724581628
1815,63912889335
1816,63912889335
1817,46724581628
1818,64092327965
1819,62589383945
1820,65960618375
1821,58613330770
1822,58613330770
1823,126242468132
1824,46724581628
1825,46724581628
1826,62589383945
1827,46724587148
1828,46724581428
1829,46724581628
1830,46724581628
1831,46724581628
1832,46724581628
1833,46724581628
1834,61477462725
1835,46724581628
1836,62589383945
1837,46724581628
1838,46724581628
1839,126733863807
1840,46724581628
1841,46724581628
1842,62589383945
1843,46724581628
1844,62589383945
1845,46724581628
1846,64092327965
1847,46724581628
1848,1258941195871551
1849,58613330770
1850,46724581628
1851,62589383945
1852,62589383945
1853,62589383945
1854,62589383945
1855,46724581628
1856,68652743208
1857,62589383945
1858,46724581628
1859,58613330770
1860,46724581428
1861,64629789553
1862,63466490776
1863,62589383945
1864,62589383945
1865,46724585188
1866,68027716073
1867,62589383945
1868,62589383945
1869,46724581628
